curve,elapsed_sec,mean,ci_lo,ci_hi,n_runs
original r6 (n=3),104.0,5.747863247863248,2.923914623658549,8.571811872067947,3
original r6 (n=3),105.0,5.814102564102565,2.9444742458344364,8.683730882370693,3
original r6 (n=3),106.0,5.863709863709864,3.010850994413403,8.716568733006325,3
original r6 (n=3),107.0,5.9133171633171635,3.0754001717096227,8.751234154924704,3
original r6 (n=3),108.0,5.962924462924462,3.138092776894247,8.787756148954678,3
original r6 (n=3),109.0,6.015057015057015,3.2008190483393713,8.829294981774659,3
original r6 (n=3),110.0,6.067189567189568,3.261032380814114,8.873346753565022,3
original r6 (n=3),111.0,6.11932211932212,3.318711022008724,8.919933216635515,3
original r6 (n=3),112.0,6.171454671454671,3.373839897301505,8.969069445607838,3
original r6 (n=3),113.0,6.223587223587224,3.426410812786147,9.0207636343883,3
original r6 (n=3),114.0,6.283732596232596,3.51719708910988,9.050268103355313,3
original r6 (n=3),115.0,6.343877968877969,3.6060166827804103,9.081739254975528,3
original r6 (n=3),116.0,6.404023341523342,3.692807193304044,9.115239489742638,3
original r6 (n=3),117.0,6.464168714168714,3.777508249292168,9.15082917904526,3
original r6 (n=3),118.0,6.524314086814087,3.8600620763224907,9.188566097305683,3
original r6 (n=3),119.0,6.58445945945946,3.9404140801214576,9.228504838797463,3
original r6 (n=3),120.0,6.623561061061061,4.0292050255111285,9.217917096610993,3
original r6 (n=3),121.0,6.662662662662663,4.117970147710574,9.207355177614751,3
original r6 (n=3),122.0,6.701764264264264,4.2067079047054055,9.196820623823122,3
original r6 (n=3),123.0,6.7408658658658664,4.2954166301711005,9.186315101560632,3
original r6 (n=3),124.0,6.7799674674674675,4.384094520792661,9.175840414142275,3
original r6 (n=3),125.0,6.819069069069069,4.472739622013645,9.165398516124494,3
original r6 (n=3),126.0,6.85817067067067,4.561349811984972,9.15499152935637,3
original r6 (n=3),127.0,6.897272272272272,4.649922783445245,9.1446217610993,3
original r6 (n=3),128.0,6.936373873873873,4.738456023218033,9.134291724529714,3
original r6 (n=3),129.0,6.975475475475476,4.82694678895645,9.124004161994502,3
original r6 (n=3),130.0,7.104854854854854,5.38257274567881,8.827136964030899,3
original r6 (n=3),131.0,7.234234234234234,5.9298652526668985,8.538603215801569,3
original r6 (n=3),132.0,7.363613613613613,6.457223054165563,8.270004173061665,3
original r6 (n=3),133.0,7.548548548548549,7.079846245226706,8.017250851870392,3
original r6 (n=3),134.0,7.733483483483483,7.000906956859287,8.466060010107679,3
original r6 (n=3),135.0,7.768418418418418,7.010767741996813,8.526069094840024,3
original r6 (n=3),136.0,7.803353353353354,7.020088860209995,8.586617846496713,3
original r6 (n=3),137.0,7.838288288288289,7.028921545969455,8.647655030607122,3
original r6 (n=3),138.0,7.873223223223223,7.037311553523522,8.709134892922924,3
original r6 (n=3),139.0,7.908158158158159,7.045299737486405,8.771016578829911,3
original r6 (n=3),140.0,7.943093093093093,7.05292258845714,8.833263597729047,3
original r6 (n=3),141.0,7.978028028028028,7.060212720278605,8.895843335777451,3
original r6 (n=3),142.0,8.012962962962964,7.067199308781764,8.958726617144164,3
original r6 (n=3),143.0,8.047018970189702,7.072847897450613,9.021190042928792,3
original r6 (n=3),144.0,8.08107497741644,7.0781102942167,9.084039660616181,3
original r6 (n=3),145.0,8.11513098464318,7.08301882023315,9.14724314905321,3
original r6 (n=3),146.0,8.149186991869918,7.087602623346519,9.210771360393316,3
original r6 (n=3),147.0,8.183242999096658,7.0918880108109175,9.274597987382398,3
original r6 (n=3),148.0,8.217299006323396,7.095898749139558,9.338699263507234,3
original r6 (n=3),149.0,8.251355013550135,7.0996563330956235,9.403053694004647,3
original r6 (n=3),150.0,8.285411020776875,7.103180226176168,9.467641815377583,3
original r6 (n=3),151.0,8.319467028003613,7.106488075079597,9.53244598092763,3
original r6 (n=3),152.0,8.353523035230353,7.109595900642502,9.597450169818204,3
original r6 (n=3),153.0,8.38757904245709,7.112518267637276,9.662639817276906,3
original r6 (n=3),154.0,8.42163504968383,7.115268435674903,9.728001663692758,3
original r6 (n=3),155.0,8.448283649503162,7.140876679702071,9.755690619304254,3
original r6 (n=3),156.0,8.471625371015614,7.152664972757516,9.790585769273713,3
original r6 (n=3),157.0,8.49496709252807,7.164435647945233,9.825498537110906,3
original r6 (n=3),158.0,8.518308814040521,7.176189160940973,9.86042846714007,3
original r6 (n=3),159.0,8.541650535552973,7.187925952482158,9.89537511862379,3
original r6 (n=3),160.0,8.564992257065427,7.199646448947101,9.930338065183753,3
original r6 (n=3),161.0,8.58833397857788,7.211351062908934,9.965316894246827,3
original r6 (n=3),162.0,8.611675700090334,7.223040193665465,10.000311206515203,3
original r6 (n=3),163.0,8.635017421602788,7.234714227746045,10.035320615459531,3
original r6 (n=3),164.0,8.658359143115241,7.246373539396576,10.070344746833907,3
original r6 (n=3),165.0,8.681700864627693,7.2580184910436225,10.105383238211763,3
original r6 (n=3),166.0,8.705042586140147,7.269649433738681,10.140435738541614,3
original r6 (n=3),167.0,8.7283843076526,7.281266707583451,10.175501907721749,3
original r6 (n=3),168.0,8.751726029165054,7.292870642137057,10.210581416193051,3
original r6 (n=3),169.0,8.775067750677506,7.304461556806029,10.245673944548983,3
original r6 (n=3),170.0,8.79840947218996,7.31603976121785,10.28077918316207,3
original r6 (n=3),171.0,8.821751193702413,7.327605555578824,10.315896831826002,3
original r6 (n=3),172.0,8.845092915214867,7.3391592310169855,10.351026599412748,3
original r6 (n=3),173.0,8.86843463672732,7.350701069910768,10.386168203543873,3
original r6 (n=3),174.0,8.891776358239774,7.362231346204034,10.421321370275514,3
original r6 (n=3),175.0,8.915118079752226,7.373750325708121,10.45648583379633,3
original r6 (n=3),176.0,8.93845980126468,7.3852582663915145,10.491661336137845,3
original r6 (n=3),177.0,8.961801522777133,7.396755418657645,10.526847626896622,3
