curve,elapsed_sec,mean,ci_lo,ci_hi,n_runs
original r6 (n=3),161.0,5.1909799572002715,-1.161704217513221,11.543664131913765,3
original r6 (n=3),162.0,5.2029064669346,-1.1551630134981279,11.560975947367329,3
original r6 (n=3),163.0,5.214832976668928,-1.148622977745955,11.578288931083812,3
original r6 (n=3),164.0,5.226759486403257,-1.1420841072925123,11.595603080099025,3
original r6 (n=3),165.0,5.238685996137586,-1.135546399182994,11.612918391458166,3
original r6 (n=3),166.0,5.250612505871914,-1.1290098504719417,11.63023486221577,3
original r6 (n=3),167.0,5.262539015606243,-1.1224744582232056,11.647552489435691,3
original r6 (n=3),168.0,5.274465525340571,-1.1159402195099206,11.664871270191064,3
original r6 (n=3),169.0,5.2863920350749,-1.1094071314144616,11.682191201564262,3
original r6 (n=3),170.0,5.298318544809228,-1.1028751910284198,11.699512280646875,3
original r6 (n=3),171.0,5.310245054543556,-1.0963443954525616,11.716834504539674,3
original r6 (n=3),172.0,5.322171564277885,-1.0898147417967996,11.734157870352568,3
original r6 (n=3),173.0,5.334098074012213,-1.0832862271801549,11.751482375204581,3
original r6 (n=3),174.0,5.346024583746542,-1.076758848730731,11.768808016223815,3
original r6 (n=3),175.0,5.357951093480871,-1.0702326035856737,11.786134790547415,3
original r6 (n=3),176.0,5.3698776032151985,-1.0637074888911435,11.80346269532154,3
original r6 (n=3),177.0,5.381804112949528,-1.0571835018022746,11.82079172770133,3
original r6 (n=3),178.0,5.393730622683857,-1.050660639483155,11.83812188485087,3
original r6 (n=3),179.0,5.405657132418185,-1.0441388991067866,11.855453163943157,3
original r6 (n=3),180.0,5.417583642152514,-1.037618277855045,11.872785562160072,3
original r6 (n=3),181.0,5.429510151886841,-1.0310987729186651,11.890119076692347,3
original r6 (n=3),182.0,5.441436661621171,-1.0245803814971923,11.907453704739535,3
original r6 (n=3),183.0,5.453363171355499,-1.0180631007989627,11.924789443509962,3
original r6 (n=3),184.0,5.4652896810898275,-1.0115469280410636,11.942126290220719,3
original r6 (n=3),185.0,5.477216190824156,-1.0050318604493036,11.959464242097615,3
original r6 (n=3),186.0,5.489142700558484,-0.9985178952581837,11.976803296375152,3
original r6 (n=3),187.0,5.501069210292813,-0.9920050297108629,11.994143450296487,3
original r6 (n=3),188.0,5.508093759242828,-0.9729382488408262,11.989125767326483,3
original r6 (n=3),189.0,5.515118308192843,-0.953884459687278,11.984121076072963,3
original r6 (n=3),190.0,5.522142857142857,-0.9348437348601637,11.979129449145876,3
original r6 (n=3),191.0,5.5291674060928715,-0.915816147431773,11.974150959617516,3
original r6 (n=3),192.0,5.536191955042887,-0.8968017709395815,11.969185681025355,3
original r6 (n=3),193.0,5.543216503992902,-0.8778006793890851,11.96423368737489,3
original r6 (n=3),194.0,5.5502410529429165,-0.8588129472566415,11.959295053142474,3
original r6 (n=3),195.0,5.557265601892932,-0.8398386494923358,11.9543698532782,3
original r6 (n=3),196.0,5.564290150842946,-0.82087786152284,11.949458163208732,3
original r6 (n=3),197.0,5.571314699792961,-0.8019306592542881,11.94456005884021,3
original r6 (n=3),198.0,5.578339248742975,-0.7829971190751612,11.93967561656111,3
original r6 (n=3),199.0,5.585363797692991,-0.7640773178591695,11.934804913245152,3
original r6 (n=3),200.0,5.5923883466430055,-0.745171332968158,11.92994802625417,3
original r6 (n=3),201.0,5.599412895593019,-0.7262792422550062,11.925105033441046,3
original r6 (n=3),202.0,5.606437444543034,-0.7074011240665392,11.920276013152607,3
original r6 (n=3),203.0,5.61346199349305,-0.6885370572464478,11.915461044232547,3
original r6 (n=3),204.0,5.620486542443064,-0.6696871211382156,11.910660206024344,3
original r6 (n=3),205.0,5.627511091393079,-0.650851395588047,11.905873578374205,3
original r6 (n=3),206.0,5.634535640343095,-0.6320299609478086,11.901101241633999,3
original r6 (n=3),207.0,5.641560189293108,-0.6132228980779688,11.896343276664187,3
original r6 (n=3),208.0,5.648654891304347,-0.5940846552986159,11.89139443790731,3
original r6 (n=3),209.0,5.662694746376811,-0.5407365651380314,11.866126057891654,3
original r6 (n=3),210.0,5.676734601449276,-0.4873897657887305,11.840858968687282,3
original r6 (n=3),211.0,5.69077445652174,-0.4340442821026391,11.815593195146118,3
original r6 (n=3),212.0,5.704814311594203,-0.38070013957290616,11.790328762761312,3
original r6 (n=3),213.0,5.718854166666667,-0.32735736435468077,11.765065697688014,3
original r6 (n=3),214.0,5.812604166666667,-0.23808092929768154,11.863289262631014,3
original r6 (n=3),215.0,5.906354166666667,-0.1676812395599887,11.980389572893323,3
original r6 (n=3),216.0,6.000104166666667,-0.11594209170689407,12.116150425040228,3
original r6 (n=3),217.0,6.093854166666667,-0.08248271581762179,12.270191049150956,3
original r6 (n=3),218.0,6.187604166666667,-0.06677449713412376,12.441982830467456,3
original r6 (n=3),219.0,6.281354166666667,-0.0681629320879873,12.63087126542132,3
original r6 (n=3),220.0,6.375104166666667,-0.08589281812206995,12.836101151455402,3
original r6 (n=3),221.0,6.468854166666667,-0.11913463268787439,13.056842966021208,3
original r6 (n=3),222.0,6.496814692982457,-0.08442205626078536,13.0780514422257,3
original r6 (n=3),223.0,6.524775219298245,-0.050360144141950336,13.099910582738442,3
original r6 (n=3),224.0,6.552735745614034,-0.016950709182504298,13.122422200410572,3
original r6 (n=3),225.0,6.580696271929824,0.01580462393474047,13.145587919924907,3
original r6 (n=3),226.0,6.608656798245614,0.047904421094248306,13.16940917539698,3
original r6 (n=3),227.0,6.636617324561404,0.0793474408764121,13.193887208246394,3
original r6 (n=3),228.0,6.664577850877193,0.11013263640859616,13.219023065345791,3
original r6 (n=3),229.0,6.692538377192982,0.14025915693217428,13.244817597453789,3
original r6 (n=3),230.0,6.720498903508772,0.1697263490800891,13.271271457937456,3
original r6 (n=3),231.0,6.748459429824561,0.19853375786050442,13.298385101788618,3
original r6 (n=3),232.0,6.7764199561403515,0.22668112734307488,13.326158784937629,3
original r6 (n=3),233.0,6.80438048245614,0.2541684010454279,13.354592563866852,3
