curve,elapsed_sec,mean,ci_lo,ci_hi,n_runs
original r6 (n=3),127.0,8.738548752834467,7.118177832889636,10.358919672779297,3
original r6 (n=3),128.0,8.867573696145124,7.449047175309266,10.286100216980982,3
original r6 (n=3),129.0,8.996598639455783,7.767182178859616,10.226015100051951,3
original r6 (n=3),130.0,9.142290249433104,8.069240847402222,10.215339651463987,3
original r6 (n=3),131.0,9.287981859410431,8.309145734668082,10.26681798415278,3
original r6 (n=3),132.0,9.433673469387754,8.46852050053247,10.398826438243038,3
original r6 (n=3),133.0,9.607142857142856,8.672428042675676,10.541857671610035,3
original r6 (n=3),134.0,9.700863140955308,9.024501527666207,10.37722475424441,3
original r6 (n=3),135.0,9.794583424767756,9.277284210701254,10.311882638834259,3
original r6 (n=3),136.0,9.888303708580205,9.336858226947818,10.439749190212591,3
original r6 (n=3),137.0,9.982023992392657,9.229065853484594,10.73498213130072,3
original r6 (n=3),138.0,10.075744276205105,9.04804782487369,11.10344072753652,3
original r6 (n=3),139.0,10.169464560017554,8.838399486248942,11.500529633786165,3
original r6 (n=3),140.0,10.263184843830006,8.615863180483633,11.910506507176379,3
original r6 (n=3),141.0,10.356905127642454,8.386635275096856,12.327174980188053,3
original r6 (n=3),142.0,10.450625411454906,8.153536358203812,12.747714464706,3
original r6 (n=3),143.0,10.544345695267355,7.918011150187817,13.170680240346893,3
original r6 (n=3),144.0,10.638065979079803,7.680869948346225,13.595262009813382,3
original r6 (n=3),145.0,10.696071977177967,7.559424656088006,13.832719298267929,3
original r6 (n=3),146.0,10.754077975276132,7.437598568652592,14.070557381899672,3
original r6 (n=3),147.0,10.812083973374294,7.315450438507076,14.308717508241513,3
original r6 (n=3),148.0,10.87008997147246,7.193027599863731,14.547152343081189,3
original r6 (n=3),149.0,10.928095969570625,7.070368597504736,14.785823341636515,3
original r6 (n=3),150.0,10.986101967668787,6.947505125371356,15.02469880996622,3
original r6 (n=3),151.0,11.044107965766953,6.8244634763595835,15.263752455174323,3
original r6 (n=3),152.0,11.064911582912735,6.823734229874882,15.306088935950589,3
original r6 (n=3),153.0,11.085715200058518,6.822961531457766,15.34846886865927,3
original r6 (n=3),154.0,11.106518817204302,6.822146037586507,15.390891596822097,3
original r6 (n=3),155.0,11.125350631136044,6.81461895965177,15.436082302620317,3
original r6 (n=3),156.0,11.14418244506779,6.8070825412547835,15.481282348880796,3
original r6 (n=3),157.0,11.163014258999532,6.799536951727096,15.526491566271968,3
