curve,elapsed_sec,mean,ci_lo,ci_hi,n_runs
ours r4 (n=3),144.0,7.5943412908930155,4.630015750061968,10.558666831724063,3
ours r4 (n=3),145.0,7.624297082228117,4.652384662306689,10.596209502149545,3
ours r4 (n=3),146.0,7.654252873563219,4.674427344067325,10.634078403059112,3
ours r4 (n=3),147.0,7.68420866489832,4.696146387153766,10.672270942642875,3
ours r4 (n=3),148.0,7.714164456233423,4.717544460301879,10.710784452164967,3
ours r4 (n=3),149.0,7.7441202475685245,4.7386243052578685,10.74961618987918,3
ours r4 (n=3),150.0,7.7692897141173,4.773193553953971,10.765385874280629,3
ours r4 (n=3),151.0,7.7944591806660775,4.807603644742154,10.78131471659,3
ours r4 (n=3),152.0,7.819628647214855,4.841853095927007,10.797404198502702,3
ours r4 (n=3),153.0,7.844798113763631,4.875940433602755,10.813655793924507,3
ours r4 (n=3),154.0,7.869967580312408,4.909864192576244,10.830070968048572,3
ours r4 (n=3),155.0,7.895137046861184,4.943622917306944,10.846651176415424,3
ours r4 (n=3),156.0,7.920306513409962,4.977215162863083,10.863397863956841,3
ours r4 (n=3),157.0,7.945475979958739,5.010639495892941,10.880312464024538,3
ours r4 (n=3),158.0,7.970645446507516,5.043894495610283,10.897396397404748,3
ours r4 (n=3),159.0,7.995814913056293,5.076978754792811,10.914651071319774,3
ours r4 (n=3),160.0,8.02098437960507,5.109890880792444,10.932077878417694,3
ours r4 (n=3),161.0,8.046153846153846,5.142629496556233,10.94967819575146,3
ours r4 (n=3),162.0,8.068600989653623,5.163439866504892,10.973762112802355,3
ours r4 (n=3),163.0,8.091048133153398,5.184171499663003,10.997924766643795,3
ours r4 (n=3),164.0,8.113495276653172,5.204824535345517,11.022166017960828,3
ours r4 (n=3),165.0,8.135942420152947,5.225399118898851,11.046485721407043,3
ours r4 (n=3),166.0,8.158389563652722,5.24589540164311,11.070883725662334,3
ours r4 (n=3),167.0,8.180836707152498,5.26631354081222,11.095359873492775,3
ours r4 (n=3),168.0,8.203283850652271,5.286653699491973,11.11991400181257,3
ours r4 (n=3),169.0,8.225730994152046,5.30691604655608,11.144545941748014,3
ours r4 (n=3),170.0,8.248178137651822,5.327100756600261,11.169255518703382,3
ours r4 (n=3),171.0,8.270625281151597,5.347208009874445,11.19404255242875,3
ours r4 (n=3),172.0,8.293072424651372,5.367237992213138,11.218906857089607,3
ours r4 (n=3),173.0,8.314610772305642,5.3854174207260055,11.243804123885278,3
ours r4 (n=3),174.0,8.336149119959911,5.403476006733395,11.268822233186427,3
ours r4 (n=3),175.0,8.357687467614182,5.421414179864681,11.293960755363685,3
